FREQUENCY,WAVELENGTH,SE dB,MARGIN dB,VERDICT,REQUIRED dB
10.000 kHz,29979.246 m,99.99,+19.99,PASS,80
30.000 kHz,9993.082 m,90.45,+10.45,PASS,80
100.000 kHz,2997.925 m,79.99,-0.01,FAIL,80
300.000 kHz,999.308 m,70.45,-9.55,FAIL,80
1.000 MHz,299.792 m,59.99,-20.01,FAIL,80
3.000 MHz,99.931 m,50.45,-29.55,FAIL,80
10.000 MHz,29.979 m,39.99,-40.01,FAIL,80
30.000 MHz,9.993 m,30.45,-49.55,FAIL,80
100.000 MHz,2.998 m,19.99,-60.01,FAIL,80
300.000 MHz,999.3 mm,10.45,-69.55,FAIL,80
500.000 MHz,599.6 mm,6.01,-73.99,FAIL,80
1.000 GHz,299.8 mm,0.00,-80.00,FAIL,80
