REF,SERVICE,FROM → TO,m³/h,SIZE,VELOCITY,CLASS,NOTES
FA-1,FRESH AIR,SH-1 shaft -> BV-1,300,DN100 throat,10.6 m/s,[C],Blast valve throat. RECESSED - IS 4991 Cl 6.2.1
FA-2,FRESH AIR - RAW,BV-1 -> AHU-1,300,200 dia,2.65 m/s,[A],"*** RAW, UNFILTERED, THROUGH THE CLEAN ZONE - 11.2 m. A PROTECTIVE ELEMENT, NOT A DUCT. See finding HV-F2 ***"
FA-3,FRESH AIR - RAW,BV-2 -> AHU-2,300,200 dia,2.65 m/s,[A],As FA-2
SA-1,SUPPLY,Plenum bay 5 -> bay 4,240,200 x 100,3.33 m/s,[A],Worst-case segment flow across both modes
SA-2,SUPPLY,Bay 4 -> bay 3,195,150 x 100,3.61 m/s,[A],Worst-case segment flow
SA-3,SUPPLY,Bay 3 -> bay 2,60,100 dia,2.12 m/s,[A],"Size governed by the practical minimum, not by velocity"
SA-4,SUPPLY,Bay 2 -> bay 1,30,100 dia,1.06 m/s,[A],Size governed by the practical minimum
SA-5,SUPPLY,Plenum -> U-05,60,100 dia,2.12 m/s,[A],
EA-1,EXTRACT,U-02 lavatory -> airlock,45,100 dia,1.59 m/s,[A],Keeps the lavatory slightly negative to the rest of the clean zone
EA-2,EXHAUST,Airlock -> BV-3 -> bay 7,300,DN100 throat,10.6 m/s,[C],Exhaust AND overpressure relief. Discharges into the stair shaft; the onward path to atmosphere is NOT RECORDED - HV-D2
GA-1,GENERATOR,SH-2 -> BV-4 -> bay 8,2600,DN350 throat,7.5 m/s,[C],Outside the gas-tight envelope
GA-2,GENERATOR,Bay 8 -> BV-5 -> SH-2,2600,DN350 throat,7.5 m/s,[C],Outside the gas-tight envelope
