====================================================================================================
VERIFICATION OF MASTER PART B  --  MANUAL CALCULATION, NOT DIRECT STAAD OUTPUT
====================================================================================================
ITEM                                        MASTER    RECOMPUTED  UNIT          DELTA  RESULT
----------------------------------------------------------------------------------------------------
B.1 W1-W4 d                                    517           517  mm           +0.00%  OK
B.1 Mp = 383 x 3.2^2/16                      245.1         245.1  kNm/m        +0.01%  OK
B.1 Mu,lim                                    1556          1555  kNm/m        +0.05%  OK
B.1 Ast,req                                    894           894  mm2/m        +0.00%  OK
B.1 Ast prov T16@150                          1340          1340  mm2/m        +0.03%  OK
B.1 Mu provided                              362.8         362.9  kNm/m        +0.02%  OK
B.1 xu                                        46.3         46.28  mm           +0.05%  OK
B.1 xu/d                                     0.089       0.08951  -            +0.57%  OK
B.1 V at d                                   414.8         414.8  kN/m         +0.00%  OK
B.1 tau_v                                    0.802        0.8023  N/mm2        +0.04%  OK
B.1 pt                                       0.259        0.2593  %            +0.10%  OK
B.1 tau_c (STATIC M35)                       0.375        0.3748  N/mm2        +0.05%  OK
B.1 tau_c,max                                  3.7           3.7  N/mm2        +0.00%  OK
B.1 Vus                                      220.8           221  kN/m         +0.09%  OK
B.1 Asv/sv                                   0.982        0.9827  mm2/mm       +0.07%  OK
B.1 sv for T12 2L                              230         230.2  mm           +0.08%  OK
B.1 sv,max Cl.26.5.1.5                         300           300  mm           +0.00%  OK
B.1 min vert 0.0012t                           720           720  mm2/m        +0.00%  OK
B.1 min horiz 0.0020t                         1200          1200  mm2/m        +0.00%  OK
B.1 IS3370 surface zone                        875           875  mm2/m/face   +0.00%  OK
B.2 W6/W7 d                                    342           342  mm           +0.00%  OK
B.2 200 wall Mu,lim (why 200 fails)          138.0           138  kNm/m        +0.00%  OK
B.2 Mp                                       245.1         245.1  kNm/m        +0.01%  OK
B.2 Mu,lim 400                               680.6         680.6  kNm/m        +0.00%  OK
B.2 Ast,req                                   1400          1400  mm2/m        +0.01%  OK
B.2 Ast prov T20@150                          2094          2094  mm2/m        +0.02%  OK
B.2 Mu provided                              355.3         355.4  kNm/m        +0.03%  OK
B.2 xu/d                                     0.211        0.2114  -            +0.20%  OK
B.2 V at d                                   481.8         481.8  kN/m         +0.00%  OK
B.2 tau_v                                    1.409         1.409  N/mm2        +0.01%  OK
B.2 pt                                       0.612        0.6124  %            +0.06%  OK
B.2 tau_c                                     0.54        0.5405  N/mm2        +0.09%  OK
B.2 Vus                                      297.2           297  kN/m         +0.08%  OK
B.2 Asv/sv                                   1.998         1.996  mm2/mm       +0.09%  OK
B.2 sv for T12 4L                              226         226.6  mm           +0.28%  OK
B.2 sv,max Cl.26.5.1.5                         257         256.5  mm           +0.19%  OK
B.2 jamb steel interrupted 2094x1.2           2513          2513  mm2/face     +0.01%  OK
B.2 per jamb                                  1256          1256  mm2          +0.03%  OK
B.2 4-T20 provided                            1257          1257  mm2          +0.03%  OK
B.2 header w                                   402         402.2  kN/m         +0.04%  OK
B.2 header M = wL^2/12                        48.2         48.26  kNm          +0.12%  OK
B.2 header V                                   241         241.3  kN           +0.12%  OK
B.3 mat d                                      517           517  mm           +0.00%  OK
B.3 uplift 4.700 x 9.81                      46.11         46.11  kPa          +0.01%  OK
B.3 net uplift 46.11-15.0                     31.1         31.11  kPa          +0.03%  OK
B.3 Case 1 Mp                                 48.6         48.61  kNm/m        +0.02%  OK
B.3 Case 2 soft band M = qL^2/12             303.7         303.7  kNm/m        +0.01%  OK
B.3 Ast,req                                   1115          1115  mm2/m        +0.03%  OK
B.3 Mu provided                              362.8         362.9  kNm/m        +0.02%  OK
B.3 utilisation                                 84          83.7  %            +0.36%  OK
B.3 t=500 Ast,req                             1407          1407  mm2/m        +0.02%  OK
B.3 t=700 Ast,req                              926           925  mm2/m        +0.10%  OK
B.3 V at d from band edge                    398.0           398  kN/m         +0.00%  OK
B.3 tau_v                                     0.77        0.7699  N/mm2        +0.02%  OK
B.3 tau_c                                    0.375        0.3748  N/mm2        +0.05%  OK
B.3 Vus                                      204.2         204.2  kN/m         +0.02%  OK
B.3 Asv/sv                                   0.908        0.9081  mm2/mm       +0.02%  OK
B.3 supplied Asv/sv 4x113.1/250               1.81          1.81  mm2/mm       +0.02%  OK
B.4 roof d                                   812.5         812.5  mm           +0.00%  OK
B.4 COMB103 total w                         448.15         448.1  kPa          +0.00%  OK
B.4 static ULS 101 on roof                   127.7         127.7  kPa          +0.02%  OK
B.4 blast:static ratio                        3.51         3.509  :1           +0.02%  OK
B.4 Mp                                       700.2         700.2  kNm/m        +0.00%  OK
B.4 Mu,lim                                    3841          3841  kNm/m        +0.01%  OK
