# BAR BENDING SCHEDULE - MASTER. Generated from rebar_data.py.
"# UNDERGROUND CBRN-HARDENED BLAST-RESISTANT PROTECTIVE STRUCTURE - PUNE, MAHARASHTRA. Package rev SC1, 04.09.2026"
"# M35 / Fe500D. SENTRY POST EXCLUDED. Units mm, m, kg."
BAR MARK,ELEMENT,LOCATION,DIA,SHAPE,SPACING,A,B,C,No.,CUT LENGTH,TOTAL LENGTH,WEIGHT,DRAWING,REMARKS
F01,MAT 600,"BOTTOM, LONGITUDINAL (X)",T16,00,150,11350,,,82,11350,930.7,1469.0,R-101 / R-102,"41 bars in 2 pieces, laps 800 staggered"
F02,MAT 600,"BOTTOM, TRANSVERSE (Y)",T16,00,150,6100,,,147,6100,896.7,1415.3,R-101 / R-102,single length
F03,MAT 600,"TOP, LONGITUDINAL (X)",T16,00,150,11350,,,82,11350,930.7,1469.0,R-101 / R-102,41 bars in 2 pieces
F04,MAT 600,"TOP, TRANSVERSE (Y)",T16,00,150,6100,,,147,6100,896.7,1415.3,R-101 / R-102,single length
F05,MAT 600,LINK GRID 250 x 250 THROUGHOUT,T12,51,250 x 250,485,250,,2112,1710,3611.5,3206.4,R-101 / R-102,doubles as the curtain spacer system; supplied Asv/sv 1.810 = 2.0 x required
F06,MAT 600,"EDGE U-BARS, ALL FREE EDGES",T16,21,150,640,500,640,376,1780,669.3,1056.4,R-101 / R-103,closes both curtains at every free mat edge
F07,MAT / PERIMETER WALLS,"WALL STARTERS W1-W4, EACH FACE",T16,11,150,900,1435,,720,2335,1681.2,2653.5,R-101 / R-103 / R-803,900 horizontal leg into the mat; 150 kicker + 800 lap (50 phi)
F08,MAT / WALLS W6-W7,"WALL STARTERS W6/W7, EACH FACE",T20,11,150,900,1635,,132,2535,334.6,825.2,R-101 / R-103 / R-803,150 kicker + 1000 lap (50 phi)
F09,MAT / WALL W5,"WALL STARTERS W5, EACH FACE",T12,11,150,600,1235,,66,1835,121.1,107.5,R-101 / R-103,150 kicker + 600 lap (50 phi)
F10,MAT 600,SUMP-PIT OPENING TRIMMERS,T20,00,—,3100,,,32,3100,99.2,244.6,R-101 / R-103,"4-T20 each face each side; Ld 800 beyond. Pit 1500x1500 at X 11070-12570, Y 900-2400 [CONFIRMED from sheet S-06]"
F11,SUMP PIT WALLS 300,"VERTICAL, EACH FACE",T16,00,150,2300,,,96,2300,220.8,348.5,R-101 / R-102,"pit invert (-)7.600, mat top (-)6.100"
F12,SUMP PIT WALLS 300,"HORIZONTAL RINGS, EACH FACE",T16,00,150,8000,,,22,8000,176.0,277.8,R-101 / R-102,
F13,SUMP PIT BASE 400,"BOTH WAYS, EACH FACE",T16,00,150,2000,,,56,2000,112.0,176.8,R-102,base 400 thk - SEE CONFLICT C18 (S-06 text says 300)
W01,PERIMETER WALLS 600,"VERTICAL, EARTH FACE",T16,00,150,3875,,,360,3875,1395.0,2201.8,R-201 / R-203 / R-204,laps 800 staggered with starters F07
