Part,#,Item Description,Unit,Qty,Rate (₹),Material (₹),Labour Deployment,Total Cost (₹)
"PART I - SURVEY, SITE CLEARANCE & EXCAVATION",,,,,,,,
"PART I - SURVEY, SITE CLEARANCE & EXCAVATION",1,Confirmatory Soil & Rock Core Boreholes,No,4,50000,200000,2 Trad / 4 Maz (10 d),234660
"PART I - SURVEY, SITE CLEARANCE & EXCAVATION",2,"Site Clearance, Grubbing & Setting Out",Sqm,1800,44.8,80640,1 Trad / 6 Maz (4 d),96500
"PART I - SURVEY, SITE CLEARANCE & EXCAVATION",3,Mass Excavation in Basalt / Murum (~6.8 m),Cum,1539,850,1308150,2 Trad / 10 Maz (30 d),1512570
"PART I - SURVEY, SITE CLEARANCE & EXCAVATION",4,Surface Dressing & Anti-Termite Treatment,Sqm,320,180,57600,1 Trad / 4 Maz (4 d),68996
,,,,,,,SUBTOTAL,1912726
PART II - SUBSTRUCTURE & FOUNDATION WORKS,,,,,,,,
PART II - SUBSTRUCTURE & FOUNDATION WORKS,1,Formwork for Mat Raft & Bay 5 Sump,Sqm,125,410,51250,4 Trad / 6 Maz (5 d),82750
PART II - SUBSTRUCTURE & FOUNDATION WORKS,2,PCC 1:3:6 Levelling Bed (100 mm),Cum,17.17,5500,94435,2 Trad / 8 Maz (2 d),105831
PART II - SUBSTRUCTURE & FOUNDATION WORKS,3,Monolithic Mat Raft Casting (M35),Cum,81.84,8640,707098,4 Trad / 12 Maz (6 d),762082
PART II - SUBSTRUCTURE & FOUNDATION WORKS,4,Pre-Applied Waterproofing Membrane + Screed,Sqm,280,950,266000,2 Trad / 4 Maz (4 d),280832
PART II - SUBSTRUCTURE & FOUNDATION WORKS,5,Dual Swelling Hydrophilic Kicker Waterstops,M,68,650,44200,2 Trad / 2 Maz (3 d),51976
,,,,,,,SUBTOTAL,1283471
PART III - SUPERSTRUCTURE & STRUCTURAL RCC,,,,,,,,
PART III - SUPERSTRUCTURE & STRUCTURAL RCC,1,Formwork for 600 mm Shear Walls (3.2 m Ht),Sqm,480,580,278400,6 Trad / 12 Maz (12 d),411888
PART III - SUPERSTRUCTURE & STRUCTURAL RCC,2,Casting 600 mm Perimeter & Shear Walls (M35),Cum,132.61,8640,1145750,4 Trad / 16 Maz (8 d),1236918
PART III - SUPERSTRUCTURE & STRUCTURAL RCC,3,Formwork & Staging for 900 mm Pressure Slab,Sqm,145,650,94250,6 Trad / 14 Maz (10 d),216650
