BILL OF QUANTITIES & COST ESTIMATE,,,,,,,
Underground CBRN-Hardened Ops Room (22.0 m × 6.2 m Box),,,,,,,
WORKS MANAGEMENT & SCHEDULE PARAMETERS,,,,,,,
Total Duration,224 Working Days,,,,,,
Scheduled Dates,02-11-2026 to 26-07-2027,,,,,,
Working Week,6 Days / Week,,,,,,
Monsoon Relaxation,3 Days / Month,,,,,,
Milestone 1,Substructure Finish (18-12-26),,,,,,
Milestone 2,Superstructure Finish (26-03-27),,,,,,
Milestone 3,Hand-Over (26-07-27),,,,,,
Specifications,M35 RCC & Fe500D (Blast Governed),,,,,,
1. CONCRETE ESTIMATE,,,,,,,
#,Structural Component & Geometry,Grade,Quantity,Unit,,,
1.1,Bottom PCC Levelling Bed for Raft Mat (100 mm thk),M15,17.17,m³,,,
1.2,Monolithic Mat Raft Foundation (600 mm thk),M35,81.84,m³,,,
1.3,Perimeter External Shear Walls W1–W4 (600 mm thk),M35,108.29,m³,,,
1.4,Internal Structural / Blast Shaft Walls W5–W7,M35,24.32,m³,,,
1.5,"Pressure Roof Slab (900 mm thk, deduct stair void)",M35,114.72,m³,,,
1.6,Internal Dog-Leg Staircase Flights & Intermediate Landings,M35,4.8,m³,,,
1.7,Internal Sump Pit (1.5 m³) & Equipment Plinth Pads,M35,6.4,m³,,,
1.8,"Entry Headhouse (400 mm Walls, 500 mm Roof Slab)",M35,28.56,m³,,,
1.9,Approach Stairwell Box (250 mm Raking Wall & Roof),M35,18.2,m³,,,
1.10,"Sacrificial RC Burster Slab in 2 m Soil Overburden (200 mm — RC1 R-1, was 300 mm)",M30,38.4,m³,,,
1.11,"Detached Sentry Post — RC FRAME ONLY (footings, plinth, columns, beams, slabs). Brick infill measured as brickwork — RC1 R-6",M30,18.6,m³,,,
1.12,"Escape shaft collars ESC 1 and ESC 2, 250 RC, OD 1900 — ADDED BY RC1 R-7, missing from the bill",M35,6.285,m³,,,
,TOTAL CONCRETE QUANTITY  (sum of the lines above — RC1 R-13),,467.59,m³,,,
2. STEEL REINFORCEMENT ESTIMATE (Fe500D),,,,,,,
#,Bar Diameter & Structural Application,Net Weight (kg),Wastage,Gross Weight (Tonnes),,,
2.1,"8 mm Bars (Hoops, Ties, Sentry Post Reinforcement)",1120,0.05,1.18,,,
2.2,10 mm Bars (Distribution Steel & Secondary Links),1480,0.05,1.55,,,
2.3,"12 mm Bars (Shear Links, Burster Slab, Internal Partitions)",9390,0.05,9.86,,,
2.4,"16 mm Bars (Perimeter Walls, Raft Foundation Mesh)",24140,0.05,25.35,,,
2.5,"20 mm Bars (Shaft Walls W6/W7, Headhouse, Haunches)",8740,0.05,9.18,,,
2.6,25 mm Bars (Pressure Slab Main Curtains & Opening Trimmers),19690,0.05,20.67,,,
,TOTAL REINFORCEMENT STEEL,64560,,67.79,,,
