Section,Item,Description,Unit,Quantity,SSR item,Rate (Rs),Amount (Rs),Status,Basis / note
A · SITE PREPARATION AND EARTHWORKS,E-01,"Site clearance and grubbing, shelter area",m2,618.8,21.33,7,4331.6,PRICED,Clearance only.  The 150 topsoil strip is measured and priced at E-01a
A · SITE PREPARATION AND EARTHWORKS,E-01a,Topsoil stripped 150 thk and stockpiled for re-use in the concealment layer,m3,92.82,21.02,207,19213.74,PRICED,"Excavation in soil, lift <= 1.5 m, mechanical.  Stacking within 50 m is inside the SSR rate, which is exactly what stockpiling for re-use is"
A · SITE PREPARATION AND EARTHWORKS,E-02,"Bulk excavation, main shelter, 0.000 to (-)6.800, all strata — SUM OF THE SIX DEPTH BANDS BELOW",m3,1338.24,—,,,INCLUDED — not separately payable,Measured at E-02.1 to E-02.6.  Plan area 196.80 m2 = 1338.24 / 6.800
A · SITE PREPARATION AND EARTHWORKS,E-02.1,"  0.000 to (-)1.500, soil / weathered overburden",m3,295.2,21.02,207,61106.4,PRICED,Lift <= 1.5 m.  Reproduces the WM1 lower bound of 295.2 m3 exactly
A · SITE PREPARATION AND EARTHWORKS,E-02.2,"  (-)1.500 to (-)1.750, soil to mean rockhead",m3,49.2,21.04,258,12693.6,PRICED,Lift 1.5 to 3.0 m.  E-02.1 + E-02.2 = 344.4 m3 = WM1 item E-02a exactly
A · SITE PREPARATION AND EARTHWORKS,E-02.3,"  (-)1.750 to (-)3.000, Deccan basalt",m3,246.0,21.20,1307.0,321522.0,PRICED,"BY HYDRAULIC BREAKER, NOT BLASTING — WM_CONSTRUCTION_METHODOLOGY.md and risk S-02.  SSR 21.20 is the schedule's non-blasting rock item; the three blasting items 21.17 / 21.18 / 21.19 do not apply to this project"
A · SITE PREPARATION AND EARTHWORKS,E-02.4,"  (-)3.000 to (-)4.500, Deccan basalt",m3,295.2,21.20,1568.4,462991.68,PRICED,"SSR 21.20 + 20 % depth increase, General Notes Section B"
A · SITE PREPARATION AND EARTHWORKS,E-02.5,"  (-)4.500 to (-)6.000, Deccan basalt",m3,295.2,21.20,1699.1,501574.32,PRICED,"SSR 21.20 + 30 % depth increase, General Notes Section B"
A · SITE PREPARATION AND EARTHWORKS,E-02.6,"  (-)6.000 to (-)6.800, Deccan basalt",m3,157.44,21.20,1699.1,267506.3,PRICED [A] — stated assumption,[A] BEYOND THE SSR's LAST DEFINED BAND.  Priced at the 4.5-6.0 m band's +30 % as a declared LOWER BOUND.  Section B leaves the percentage to the Superintending Engineer.  OPEN ITEM WM4-V1
A · SITE PREPARATION AND EARTHWORKS,E-02a,  of which excavation in soil / weathered overburden,m3,344.4,—,,,INCLUDED — not separately payable,Memorandum.  Priced at E-02.1 and E-02.2
A · SITE PREPARATION AND EARTHWORKS,E-02b,  of which excavation in rock (Deccan basalt),m3,993.84,—,,,INCLUDED — not separately payable,Memorandum.  Priced at E-02.3 to E-02.6
A · SITE PREPARATION AND EARTHWORKS,E-03,"Excavation in rock for sump pit SU-01, below general formation",m3,9.477,21.20,1699.1,16102.37,PRICED [A] — stated assumption,"[A] Below (-)6.800, so beyond the SSR's last defined depth band.  Same lower bound and the same open item as E-02.6 — WM4-V1"
A · SITE PREPARATION AND EARTHWORKS,E-04,"Excavation for the covered entry stairwell, outside the box envelope, 0.000 to (-)2.000",m3,19.096,21.04,258,4926.77,PRICED [A] — stated assumption,[A] Priced wholly as soil at the 1.5-3.0 m lift.  The strata split is not derivable from the project record; SG1 puts a CH clay horizon here to 1.0 m.  If basalt is met below the mean rockhead the 21.20 rate applies to that part
A · SITE PREPARATION AND EARTHWORKS,E-05.1,"Excavation, sentry post footings F1, 4 No.: 0.000 to (-)1.500, soil",m3,26.46,21.02,207,5477.22,PRICED,Pits 2.100 sq (0.300 working space) x 2.100 deep — wm_quantities.py 1.6
A · SITE PREPARATION AND EARTHWORKS,E-05.2,"  (-)1.500 to (-)1.750, soil",m3,4.41,21.04,258,1137.78,PRICED,Lift 1.5 to 3.0 m
A · SITE PREPARATION AND EARTHWORKS,E-05.3,"  (-)1.750 to (-)2.100, Deccan basalt",m3,6.174,21.20,1307.0,8069.42,PRICED,F1 founds on in-situ basalt at (-)2.000.  Depth under 3.0 m: no increase.  E-05.1 + E-05.2 + E-05.3 = 37.044 m3 = WM1 item E-05 exactly
A · SITE PREPARATION AND EARTHWORKS,E-06,Filling in compacted granular fill under the sentry post ground floor,m3,7.452,21.37,599,4463.75,PRICED,"Contractor's material, 15-20 cm layers, watered and compacted"
A · SITE PREPARATION AND EARTHWORKS,E-07,"Side backfill in selected granular fill, 250 layers to 95 % MDD",m3,289.92,21.37,599,173662.08,PRICED,"SSR layers are 15-20 cm against the specified 250 — the specification is TIGHTER than the schedule, so the SSR rate is not understated on that count"
A · SITE PREPARATION AND EARTHWORKS,E-08,"Surplus excavated material — re-use on site as engineered fill / crushed rubble, remainder to spoil",m3,1113.937,—,,,INCLUDED — not separately payable,INCLUDED.  Every SSR excavation item already carries removal to 50 m beyond the building area and stacking as directed.  Lead beyond 50 m is payable under SSR Statement C-1 transportation charges and CANNOT be quantified — no site plan and no spoil destination exists (Drainage D3)
A · SITE PREPARATION AND EARTHWORKS,E-09,"Preconstructional antitermite treatment to the bottom surface and sides of the excavation, IS 6313 Part II",m2,,21.22,107,,NOT PRICED,NOT IN THE WM1 BILL and no quantity exists.  Listed because the owner's own RC1 bill carries a 320 m2 anti-termite line and the SSR has an item for it.  Rate shown for information; NOT in the total
B · MAIN UNDERGROUND SHELTER — CONCRETE,C-01,Mat 600 (M35),m3,81.8,25.17,7562,618571.6,PRICED,SSR 25.17 names raft foundations explicitly.  Formwork IS IN THE RATE
B · MAIN UNDERGROUND SHELTER — CONCRETE,C-02,"Pressure slab 900, net of openings (M35)",m3,112.0,25.76,14391,1611792.0,PRICED,"R.C.C. slabs and landings, M-35"
B · MAIN UNDERGROUND SHELTER — CONCRETE,C-03,Perimeter walls 600 (M35),m3,103.7,26.19 der.,16024.97,1661789.39,PRICED,"R.C.C. pardi (wall) of required thickness, grade-uplifted M25 -> M35 by the SSR's own cement-consumption rule"
B · MAIN UNDERGROUND SHELTER — CONCRETE,C-04,Walls W6 / W7 400 (M35),m3,12.8,26.19 der.,16024.97,205119.62,PRICED,As C-03
B · MAIN UNDERGROUND SHELTER — CONCRETE,C-05,Wall W5 200 (M35),m3,3.2,26.19 der.,16024.97,51279.9,PRICED,As C-03
B · MAIN UNDERGROUND SHELTER — CONCRETE,C-06.1,Headhouse walls 400 (M35),m3,18.8,26.19 der.,16024.97,301269.44,PRICED,"WM1 item C-06 is walls + roof at 32.7 m3.  Split pro rata from its own derivation: walls (4.800 x 5.800 - 4.000 x 5.000) x 2.400 = 18.816, roof 4.800 x 5.800 x 0.500 = 13.920, total 32.736.  No quantity is changed"
B · MAIN UNDERGROUND SHELTER — CONCRETE,C-06.2,Headhouse roof 500 (M35),m3,13.9,25.76,14391,200034.9,PRICED,Same split as C-06.1
B · MAIN UNDERGROUND SHELTER — CONCRETE,C-07,"Main staircase, waist and landings (M35)",m3,3.0,26.26 der.,12518.97,37556.91,PRICED,"R.C.C. waist slab and steps of staircases, grade-uplifted M25 -> M35.  THE STAIRCASE GEOMETRY IS FROZEN AND IS NOT TOUCHED — 24 risers, 170.8333 riser, 280 tread, 3 flights x 8, 4 100 total rise"
B · MAIN UNDERGROUND SHELTER — CONCRETE,C-08,"Entry stairwell: walls, roof, raft, flight, landings (M35)",m3,19.9,26.19 der.,16024.97,318896.9,PRICED [A] — stated assumption,"[A] A composite accepted whole from SC1 — no volume split by member exists.  Priced entirely at the WALL rate, which is the DEAREST of the M-35 family, so the line cannot be understated by the choice.  83.0 of the 110.9 m2 of its formwork is wall face, so walls do govern"
B · MAIN UNDERGROUND SHELTER — CONCRETE,C-09,"Blinding / PCC M15, 100 thk under the mat",m3,14.208,24.04,6359,90348.67,PRICED,M15 for foundation and bedding
B · MAIN UNDERGROUND SHELTER — CONCRETE,C-10,"Blinding / PCC M15, 100 thk, sump pit, footings F1 and stairwell raft",m3,3.045,24.04,6359,19363.16,PRICED,As C-09
B · MAIN UNDERGROUND SHELTER — CONCRETE,C-11,Sump pit SU-01 walls 300 and base 400 below the mat soffit (M35),m3,3.708,26.19 der.,16024.97,59420.59,PRICED [A] — stated assumption,[A] Walls and base measured together in WM1.  Priced at the wall rate throughout — the dearer of the two applicable rates
B · MAIN UNDERGROUND SHELTER — CONCRETE,C-12,"Escape shaft collars ESC 1 and ESC 2, 250 RC, OD 1900 (M35)",m3,6.285,26.19 der.,16024.97,100716.94,PRICED,Circular 250 walls.  The SSR has no curved-formwork item; 26.19 is 'of required thickness' and is the closest published item
B · MAIN UNDERGROUND SHELTER — CONCRETE,C-13,Local thickenings of the pressure slab 900 -> 1200 at openings (M35),m3,3.331,25.76,14391,47936.42,PRICED,Slab work
B · MAIN UNDERGROUND SHELTER — CONCRETE,C-14,"Internal partitions W8, 4 No., 110 thk, non-structural (M35)",m3,6.208,26.19 der.,16024.97,99483.01,PRICED [A] — stated assumption,"[A] W8 is non-structural with A252 mesh both faces; the project states NO GRADE and WM1 measured it as M35 with the rest of the box (tagged [A] there).  That tag is carried, not resolved"
C · REINFORCEMENT — ALL WORKS,R-T8,"Reinforcement T8 Fe500D, shelter and entry structures",t,0.006,26.33,89703,538.22,PRICED,"TMT Fe-500, cut, bent, hooked, tied and FIXED IN POSITION.  The SSR measures the fixed weight, which is the net weight scheduled here"
C · REINFORCEMENT — ALL WORKS,R-T10,"Reinforcement T10 Fe500D, shelter and entry structures",t,0.063,26.33,89703,5651.29,PRICED,"TMT Fe-500, cut, bent, hooked, tied and FIXED IN POSITION.  The SSR measures the fixed weight, which is the net weight scheduled here"
