SSR item,SSR chapter,"Description (SSR wording, trimmed)",Unit,Completed rate 2022-23 excl. GST (Rs),Labour rate 2022-23 excl. GST (Rs),SSR printed page,PDF page,Use
21.02,Excavation,"Excavation for foundation in earth, soil of all types, sand, gravel and soft murum, including removing the excavated material up to a distance of 50 m beyond the building area and stacking and spreading as directed, dewatering, preparing the bed for the foundation and necessary back filling, ramming, watering including shoring and strutting etc. complete. (Lift upto 1.5 m.) By Mechanical Means",m3,207,116,153,160,USED
21.04,Excavation,"Excavation for foundation in earth, soils of all types, sand, gravel and soft murum ... (Lift from 1.5 m to 3.0 m) By Mechanical Means",m3,258,144,153,160,USED
21.20,Excavation,"Excavation for foundation in Hard rock by chiselling, wedging, line drilling, etc. including trimming and levelling the bed, removing the excavated material upto a distance of 50 metres beyond the building area, stacking as directed, dewatering and back filling with available earth/murum, watering, ramming etc. complete. (Lift upto 1.5 m.) By Mechanical Means",m3,1307,889,155,162,USED
21.22,Excavation,Providing preconstructional antitermite treatment as per IS 6313 (Part-II) by treating the bottom surface and sides of excavation at the rate of 5 litres of emulsion concentrate of 1.0 percent chlorpyrifos per square metre etc. complete,m2,107,6,155,162,USED
21.33,Excavation,"Labour charges for removing grass, thorny shrubs, jungli shrub, kubabul and alike grass, making the ground clean by shovel and phavaras etc. complete",m2,7,7,157,164,USED
21.36,Excavation,Filling in plinth and floors with approved excavated material in 15 cm to 20 cm layers including watering and compacting etc. complete,m3,120,120,157,164,USED
21.37,Excavation,Filling in plinth and floors with contractor's material / brought from outside and approved by Engineer in charge in layers of 15 cm to 20 cm including watering and compaction etc. complete,m3,599,135,157,164,USED
21.38,Excavation,Providing dry / trap / granite / quartzite / gneiss rubble stone soling 15 cm to 20 cm thick including hand packing and compacting etc. complete,m3,1382,432,157,164,USED
21.39,Excavation,"Providing and filling in the foundation with sand of approved quality including watering, compacting etc. complete. (To be executed with prior approval of Superintending Engineer)",m3,2160,120,157,164,USED
21.40,Excavation,"Providing soling using 80 mm size trap metal in 15 cm layer including filling voids with crushed sand / grit, ramming, watering etc. complete",m3,1454,436,157,164,reference
24.01,Plain Cement Concrete,"Providing and laying cast in situ / ready mix cement concrete in M-10 of trap / granite / quartzite / gneiss metal for foundation and bedding including bailing out water, steel centering, formwork, laying / pumping, compacting and curing etc. complete.  The SSR's own consumption table gives nominal PCC 1:3:6 and M-10 the SAME 4.40 bags/m3, so 24.01 is the published item for a 1:3:6 levelling bed",m3,5830,1616,175,182,USED
24.04,Plain Cement Concrete,"Providing and laying cast in situ / ready mix cement concrete in M15 of trap / granite / quartzite / gneiss metal for foundation and bedding / steps including steel centering, formwork, laying / pumping, compacting, roughening them if special finish is to be provided, finishing uneven and honeycombed surface and curing etc. complete. With fine aggregate (Crushed sand VSI grade)",m3,6359,1616,175,182,USED
25.15,Reinforced Cement Concrete,"Providing and laying cast in situ / ready mix cement concrete M-30 of trap / granite / quartzite / gneiss metal for R.C.C. work in foundations like raft, strip foundations, grillage and footings of R.C.C. columns and steel stanchions etc. ... including steel centering, formwork, cover blocks, laying / pumping, compaction, finishing ... and curing etc. complete, (EXCLUDING reinforcement and structural steel)",m3,7471,2110,178,185,USED
25.17,Reinforced Cement Concrete,As 25.15 but grade M-35.,m3,7562,2110,178,185,USED
25.35,Reinforced Cement Concrete,"Providing and laying cast in situ / ready mix cement concrete M-30 ... for R.C.C. COLUMNS as per detailed designs and drawing ... including steel centering, formwork, cover blocks ... (EXCLUDING reinforcement)",m3,14150,5252,180,187,USED
25.54,Reinforced Cement Concrete,"Providing and laying cast in situ / ready mix cement concrete M-30 ... for R.C.C. BEAMS AND LINTELS ... including steel centering, formwork, cover blocks ... (EXCLUDING reinforcement)",m3,12635,5085,181,188,USED
25.74,Reinforced Cement Concrete,"Providing and laying cast in situ / ready mix cement concrete M-30 ... for R.C.C. SLABS AND LANDINGS ... including steel centering, formwork, cover blocks ... (EXCLUDING reinforcement)",m3,14299,5988,183,190,USED
25.76,Reinforced Cement Concrete,As 25.74 but grade M-35.,m3,14391,5988,183,190,USED
26.19,Reinforced Cement Concrete,"Providing and laying cast in situ / ready mix cement concrete in M-25 ... for R.C.C. PARDI (wall) of required thickness including steel centering, formwork, cover blocks ... (EXCLUDING reinforcement).  M-25 is the HIGHEST grade the SSR publishes for this item",m3,15750,7338,185,192,USED
26.26,Reinforced Cement Concrete,Providing and laying cast in situ / ready mix cement concrete in M-25 ... for R.C.C. WAIST SLAB AND STEPS OF STAIRCASES ... (EXCLUDING reinforcement).  M-25 is the HIGHEST grade the SSR publishes for this item,m3,12244,5219,186,193,USED
26.33,Reinforced Cement Concrete,"Providing and fixing in position TMT Fe-500 bar reinforcement of various diameters for R.C.C. pile caps, footings, foundations, slabs, beams, columns, canopies, staircase, newels, chajjas, lintels, pardis, copings, fins, arches etc. as per detailed designs, drawings and schedules, including cutting, bending, hooking the bars, binding with wires or tack welding and supporting as required, complete",t,89703,11762,188,195,USED
