ID,Task Name,Working Days,Start,Finish,Predecessors
1,UNDERGROUND CBRN - HARDENED OPS ROOM (21.6 x 6.8) - MASTER CONSTRUCTION SCHEDULE (R0),224 days,02-11-26,26-07-27,
2,Initial Works,4 days,02-11-26,05-11-26,
3,"Site Cleaning, Plants, Shrubs removal",4 days,02-11-26,05-11-26,
4,Water Provision,3 days,02-11-26,04-11-26,3SS
5,Electricity Provision,3 days,02-11-26,04-11-26,3SS
6,Substructure Works,40 days,02-11-26,18-12-26,
7,Setting Out Works & Architect Checking,2 days,02-11-26,03-11-26,3SS
8,Mass Excavation Till Buried Room Bottom Foundation Strata,4 days,04-11-26,09-11-26,7
9,"Dressing, Surface Levelling",2 days,10-11-26,11-11-26,8
10,Anti Termite Treatment,2 days,12-11-26,13-11-26,9
11,Center Line Works,4 days,14-11-26,18-11-26,
12,Bottom PCC for Monolithic Mat Raft,2 days,14-11-26,16-11-26,10
13,Center Line Coordinates Marking with Checking,2 days,17-11-26,18-11-26,12
14,"Monolithic Mat Raft, 600mm Thk Periphery Shear Wall RCC Works",20 days,19-11-26,11-12-26,
15,"Monolithic Mat Raft, 600mm Thk Periphery Shear Wall Reinforcement",3 days,19-11-26,21-11-26,13
16,Structural Consultant Checking,1 day,23-11-26,23-11-26,15
17,Monolithic Mat Raft Shuttering,3 days,24-11-26,26-11-26,16
18,Monolithic Mat Raft Casting,3 days,25-11-26,27-11-26,17FS-2 days
19,"Monolithic Mat Raft Deshuttering, Cleaning etc",3 days,26-11-26,28-11-26,18FS-2 days
20,600mm Thk Periphery Shear Wall Starter Works,2 days,30-11-26,01-12-26,19
21,600mm Thk Periphery Shear Wall Reinforcement till -3.2Mtrs,4 days,01-12-26,04-12-26,20FS-1 day
22,600mm Thk Periphery Shear Wall Shuttering till -3.2Mtrs,4 days,03-12-26,07-12-26,21SS+2 days
23,600mm Thk Periphery Shear Wall Casting till -3.2Mtrs,2 days,08-12-26,09-12-26,22
24,600mm Thk Periphery Shear Wall Deshuttering till -3.2Mtrs,2 days,10-12-26,11-12-26,23
25,"Waterproofing - Monolithic Mat Raft, Periphery Shear Wall (till -3.2Mtrs Height)",3 days,12-12-26,15-12-26,24
26,"Side Backfilling & Compaction- Monolithic Mat Raft, Periphery Shear Wall (till -3.2Mtrs Height)",3 days,16-12-26,18-12-26,25
27,Superstructure RCC Works & Brick Works,82 days,19-12-26,26-03-27,
28,"1st Slab (1000 mm Thk) RCC Works (DECN Room, Gen Room Roof Lvl)",25 days,19-12-26,16-01-27,
29,1st Slab Shear Wall RCC Works,9 days,19-12-26,29-12-26,
30,Shear Wall Reinforcement,3 days,19-12-26,22-12-26,26
31,"Electrical, Plumbing Services (Concealed)",2 days,23-12-26,24-12-26,30
32,Shear Wall Shuttering,3 days,24-12-26,26-12-26,31FS-1 day
33,Shear Wall Casting,3 days,25-12-26,28-12-26,32FS-2 days
34,Shear Wall Deshuttering,2 days,28-12-26,29-12-26,33FS-1 day
35,1st Slab Beam & Slab RCC Works,16 days,30-12-26,16-01-27,
36,Beam Bottom Works,5 days,30-12-26,04-01-27,34
37,Beam Reinforcement Works,4 days,01-01-27,05-01-27,36FS-3 days
38,Beam Side & Slab Shuttering Works,4 days,04-01-27,07-01-27,37FS-2 days
39,1000mm Thk Slab Reinforcement Works,6 days,06-01-27,12-01-27,38FS-2 days
40,Structural Consultant Checking,1 day,13-01-27,13-01-27,39
41,"Slab Casting - 1st Slab (1000 mm Thk) RCC Works (DECN Room, Gen Room Roof Lvl)",3 days,14-01-27,16-01-27,40
42,2nd Slab (Ground Lvl) - Grade Slab RCC Works,23 days,18-01-27,13-02-27,
43,Shear Wall RCC Works,19 days,18-01-27,09-02-27,
44,Shear Wall Reinforcement (Periphery & Partition Wall),4 days,18-01-27,21-01-27,41
45,"Electrical, Plumbing Services (Concealed)",2 days,22-01-27,23-01-27,44
46,Telescopic Steel Ladder Embedment,2 days,25-01-27,27-01-27,"44FF+1 day,45"
47,Shear Wall Shuttering,4 days,25-01-27,29-01-27,46FS-2 days
48,Shear Wall Casting,3 days,28-01-27,30-01-27,47FS-2 days
49,Shear Wall Deshuttering,2 days,30-01-27,01-02-27,48FS-1 day
50,Waterproofing,4 days,01-02-27,04-02-27,49FS-1 day
51,Layerwise Backifilling & Compaction in 4m Soil Overbudon,4 days,05-02-27,09-02-27,50
52,4m Soil Overburdon Grade Slab RCC Works,4 days,10-02-27,13-02-27,
53,Grade Slab Reinforcement Works,2 days,10-02-27,11-02-27,51
54,Slab Casting - Grade Slab (2nd Slab),2 days,12-02-27,13-02-27,53
55,3rd Slab (First Floor Slab) RCC Works,10 days,15-02-27,25-02-27,
56,Column RCC Works,4 days,15-02-27,18-02-27,
57,"Column, Staircase & Lift Shear Wall Reinforcement",1 day,15-02-27,15-02-27,54
58,"Column, Staircase & Lift Shear Wall Shuttering",1 day,16-02-27,16-02-27,57
59,"Column, Staircase & Lift Shear Wall Casting",1 day,17-02-27,17-02-27,58
60,"Column, Staircase & Lift Shear Wall Deshuttering",1 day,18-02-27,18-02-27,59
61,Beam & Slab RCC Works,6 days,19-02-27,25-02-27,
62,Beam Bottom Works,1 day,19-02-27,19-02-27,60
63,Beam Reinforcement Works,2 days,19-02-27,20-02-27,62FS-1 day
64,Beam Side & Slab Shuttering Works,2 days,20-02-27,22-02-27,63FS-1 day
65,Slab Reinforcement Works,2 days,22-02-27,23-02-27,64FS-1 day
66,Structural Consultant Checking,1 day,24-02-27,24-02-27,65
67,Slab Casting - 3rd Slab (First Floor Slab),1 day,25-02-27,25-02-27,66
68,4th Slab (Headhouse Roof Slab) RCC Works,10 days,26-02-27,09-03-27,
69,Column RCC Works,4 days,26-02-27,02-03-27,
70,"Column, Staircase & Lift Shear Wall Reinforcement",1 day,26-02-27,26-02-27,67
71,"Column, Staircase & Lift Shear Wall Shuttering",1 day,27-02-27,27-02-27,70
72,"Column, Staircase & Lift Shear Wall Casting",1 day,01-03-27,01-03-27,71
73,"Column, Staircase & Lift Shear Wall Deshuttering",1 day,02-03-27,02-03-27,72
74,Beam & Slab RCC Works,6 days,03-03-27,09-03-27,
75,Beam Bottom Works,1 day,03-03-27,03-03-27,73
76,Beam Reinforcement Works,2 days,03-03-27,04-03-27,75FS-1 day
77,Beam Side & Slab Shuttering Works,2 days,04-03-27,05-03-27,76FS-1 day
78,Slab Reinforcement Works,2 days,05-03-27,06-03-27,77FS-1 day
79,Structural Consultant Checking,1 day,08-03-27,08-03-27,78
