Group,Reference,Title,Used for,Class
Structural design,IS 456:2000,Plain and reinforced concrete — code of practice,"All RC design and construction; Cl. 11.3 Table 11 formwork striking; Cl. 13.4 construction joints; Cl. 13.5 curing; Cl. 15 and 16 acceptance; Cl. 26.2 development and laps; Cl. 26.4.2 and Table 16 cover; Table 5 exposure, minimum cement and w/c.",[C] master Part G
Structural design,IS 1786:2008,High strength deformed steel bars and wires for concrete reinforcement,"Fe500D for the shelter, Fe500 for the sentry post.",[C] master Part G
Structural design,IS 13920:2016,Ductile design and detailing of reinforced concrete structures subjected to seismic forces,"Sentry post frame detailing, Zone III.",[C] master Part G
Structural design,IS 1893 (Part 1):2016,Criteria for earthquake resistant design of structures — general provisions and buildings,Seismic design of the sentry post and the box.,[C] master Part G
Structural design,"IS 875 (Parts 1, 2, 3, 5)",Code of practice for design loads (other than earthquake),Dead loads and unit weights; imposed loads; wind on the sentry post; load combinations.,[C] master Part G
Structural design,IS 3370 (Parts 1 and 2):2021,Concrete structures for the storage of liquids,Crack width limit 0.2 mm and surface-zone steel.,[C] master Part G
Structural design,IS 4991:1968,Criteria for blast resistant design of structures for explosions above ground,Blast loading rules and dynamic material strengths ONLY. Cl. 1.1 EXPLICITLY EXCLUDES NUCLEAR and that exclusion is quoted in every deliverable. Cl. 10.3.1.1 — NO dynamic increase on shear.,[C] master Part G
Structural design,SP 34:1987,Handbook on concrete reinforcement and detailing,Shape codes; Cl. 5.5 opening-corner detailing.,[C] master Part G
Structural design,SP 16:1980,Design aids for reinforced concrete,"Column interaction charts, cross-checked against first-principles calculation.",[C] master Part G
Structural design,BS 8666,"Scheduling, dimensioning, bending and cutting of steel reinforcement for concrete","Bar shape codes and bend deductions in all bar bending schedules, used alongside SP 34.",[C] master Part G
Structural design,IS 1904:1986,Design and construction of foundations in soils — general requirements,"Presumptive bearing capacity, Table 1, hard rock 3240 kPa.",[C] master Part G
Structural design,IS 12070:1987,Design and construction of shallow foundations on rocks,Settlement on sound basalt.,[C] master Part G
Materials,IS 269:2015,Ordinary Portland Cement — specification,"Cement for all concrete, mortar and plaster.",[C]
Materials,IS 1489 (Part 1):1991,Portland pozzolana cement — fly ash based,Alternative binder if approved.,[C]
Materials,IS 383:2016,Coarse and fine aggregate for concrete — specification,All concrete aggregate.,[C]
Materials,IS 2386 (Parts 1 to 8):1963,Methods of test for aggregates for concrete,Aggregate acceptance testing.,[C]
Materials,IS 2116:1980,Sand for masonry mortars — specification,SENTRY POST brick masonry mortar.,[C]
Materials,IS 1542:1992,Sand for plaster — specification,Sentry post internal and external plaster.,[C]
Materials,IS 2645:2003,Integral waterproofing compounds for cement mortar and concrete,The integral crystalline admixture required by master A.5.,[C]
Materials,IS 4031,Methods of physical tests for hydraulic cement,Cement acceptance testing. Multi-part standard — cite the relevant part for each test.,[C]
Construction,IS 10262:2019,Concrete mix proportioning — guidelines,Trial mix design for M35 and M30.,[C]
Construction,IS 1199,"Fresh concrete — methods of sampling, testing and analysis",Slump and sampling at the pour. Multi-part; confirm the current part and edition before citing a clause.,[C] / edition to confirm
Construction,IS 516,Hardened concrete — methods of test,Cube compressive strength. Confirm the current part and edition before citing a clause.,[C] / edition to confirm
